,user,text,favorite_count,retweet_count,created_at
56,elonmusk,@jimcramer 😳,21342,731,2023-04-14 06:33:14+00:00
57,elonmusk,@farzyness 💯,3881,182,2023-04-14 06:32:32+00:00
58,elonmusk,@oldbooksguy The weakness of an NPC is their limited dialogue tree,60575,4741,2023-04-14 06:31:37+00:00
59,elonmusk,"@stevenmarkryan CBS/NPR have engaged in extreme hypocrisy. 

Fate loves irony, but despises hypocrisy.",36466,4346,2023-04-14 06:11:10+00:00
60,elonmusk,@TitterDaily Yup,6767,369,2023-04-14 06:03:49+00:00
61,elonmusk,@WholeMarsBlog Exactly!,4513,244,2023-04-14 06:03:03+00:00
62,elonmusk,@MuskUniversity Tough years,14464,858,2023-04-14 05:48:07+00:00
63,elonmusk,@unkonfined Should just work,852,77,2023-04-14 05:37:13+00:00
64,elonmusk,@BillyM2k App update needed,4341,243,2023-04-14 02:42:08+00:00
65,elonmusk,@zerohedge Dark if true lol,24076,1087,2023-04-14 02:41:32+00:00
66,elonmusk,@dogeofficialceo Daily Mail has some great headlines 🤣,45276,2690,2023-04-14 01:57:22+00:00
67,elonmusk,"@BillyM2k @herbertong We will that to the feature list, but right now you can easily post “here is 30 secs of my awesome video, subscribe to see it all”",3368,224,2023-04-14 01:56:23+00:00
68,elonmusk,@slashdot Scale does matter,3955,307,2023-04-14 01:53:49+00:00
69,elonmusk,@BillyM2k @0xgaut True,3331,234,2023-04-14 01:51:16+00:00
70,elonmusk,@dogeofficialceo 🎯,75082,2779,2023-04-14 01:49:35+00:00
71,elonmusk,@herbertong You can post partial videos for free and reserve full video for subscribers,12454,865,2023-04-14 01:48:48+00:00
72,elonmusk,@RyanTanaka3 @herbertong Exactly,768,47,2023-04-14 01:48:04+00:00
73,elonmusk,@BillyM2k @unusual_whales It should work via web interface,2428,161,2023-04-14 01:43:18+00:00
74,elonmusk,@FonsDK @WholeMarsBlog @jasondebolt @SawyerMerritt @teslaownersSV @forwardcap @farzyness @garyblack00 Reaching volume production &amp; achieving positive cash flow is insanely hard,10386,892,2023-04-14 01:42:32+00:00
75,elonmusk,@EvaFoxU Agreed. One step at a time.,7155,476,2023-04-14 01:33:30+00:00
76,elonmusk,@ylecun @RichardSocher Yeah,795,51,2023-04-14 01:26:01+00:00
77,elonmusk,@BillyM2k That would be great!,8449,439,2023-04-14 01:19:47+00:00
78,elonmusk,@HighyieldHarry !,8353,413,2023-04-14 00:08:28+00:00
79,elonmusk,@WallStreetSilv 😂,20139,1251,2023-04-14 00:03:27+00:00
80,elonmusk,@cb_doge Great point. We will add that!,26276,955,2023-04-13 23:56:23+00:00
81,elonmusk,"@BillyM2k @dogeofficialceo Currently, all subscribers have to be approved by Apple for iOS. We’re waiting for the next batch to approved.",3321,238,2023-04-13 23:54:13+00:00
82,elonmusk,@ChrisJBakke Dogs rock,58698,4500,2023-04-13 23:47:24+00:00
83,elonmusk,@TimSweeneyEpic Exactly,1019,69,2023-04-13 23:41:58+00:00
84,elonmusk,@Anc_Aesthetics @ICannot_Enough @SF___Tahoe Working on it,1306,90,2023-04-13 20:42:25+00:00
85,elonmusk,@dvorahfr We should dress in far more interesting ways than we currently do!,31424,2165,2023-04-13 19:59:48+00:00
86,elonmusk,@RobertKennedyJr @zerohedge Wow!,21769,2249,2023-04-13 19:44:30+00:00
87,elonmusk,@Liv_Boeree No,2181,113,2023-04-13 17:31:17+00:00
88,elonmusk,@SpectralMana @Liv_Boeree We’re removing that requirement,1106,79,2023-04-13 17:31:08+00:00
89,elonmusk,@ICannot_Enough @SteveHamel16 🤣,1928,97,2023-04-13 17:30:15+00:00
90,elonmusk,@TashaARK Yup,3784,248,2023-04-13 17:22:55+00:00
91,elonmusk,"For the next 12 months, Twitter will keep none of the money. 

You will receive whatever money we receive, so that’s 70% for subscriptions on iOS &amp; Android (they charge 30%) and ~92% on web (could be better, depending on payment processor).

After first year, iOS &amp; Android fees… https://t.co/kZ8GUczRy0",105355,10407,2023-04-13 17:20:39+00:00
92,elonmusk,@stillgray Working on it,3435,186,2023-04-13 17:10:07+00:00
93,elonmusk,@ICannot_Enough @SF___Tahoe You might want to consider enabling subscriptions for some of your work or just so that people can thank you,15969,751,2023-04-13 17:09:17+00:00
94,elonmusk,"Apply to offer your followers subscriptions of any material, from longform text to hours long video!

Just tap on “Monetization” in settings.",115451,11888,2023-04-13 17:07:44+00:00
95,elonmusk,"@BiirbG Sickkk, but who can make it?",3755,154,2023-04-13 16:58:30+00:00
96,elonmusk,"@SahilBloom If heath death of the Universe is how things end, it really is all about the journey",13839,1028,2023-04-13 16:57:45+00:00
97,elonmusk,@tunguz 🔥,5488,257,2023-04-13 16:55:57+00:00
98,elonmusk,@mahmoudfoqha9 @cb_doge It would be good to have Twitter worldwide,993,82,2023-04-13 16:38:37+00:00
99,elonmusk,"@cb_doge Well, technically it is both for me",50943,1904,2023-04-13 16:37:45+00:00
100,elonmusk,@OurielOhayon I really do,5237,158,2023-04-13 16:27:17+00:00
101,elonmusk,Turning AI-designed fashion into real clothing would be great,107505,8860,2023-04-13 16:25:30+00:00
102,elonmusk,@SenSchumer Good news! AI regulation will be far more important than it may seem today.,15383,1266,2023-04-13 16:23:19+00:00
103,elonmusk,@WholeMarsBlog Exactly,9856,583,2023-04-13 13:41:47+00:00
104,elonmusk,@paulg Yeah,1472,86,2023-04-13 13:40:58+00:00
105,elonmusk,@paulg 🤣,2525,149,2023-04-13 13:39:32+00:00
106,elonmusk,@0xgaut 🤣,34344,1612,2023-04-13 13:37:05+00:00
107,elonmusk,@ggreenwald @Snowden That’s messed up,9943,963,2023-04-13 13:28:10+00:00
108,elonmusk,@mayemusk Congratulations!,25477,998,2023-04-13 13:27:16+00:00
109,elonmusk,"@EvaFoxU @WholeMarsBlog Sunlight is the best disinfectant, so let’s shed some light on the media puppet-masters!",11502,2044,2023-04-13 13:19:54+00:00
110,elonmusk,"@loracyaknosiner @WholeMarsBlog 💯 It’s Anchor Man en masse, but who wrote the memo?",4116,288,2023-04-13 13:17:41+00:00
111,elonmusk,@Erch03 @WholeMarsBlog That would be sickkk 🤣,2342,95,2023-04-13 13:14:45+00:00
112,elonmusk,@ExplainThisBob 💡,952,72,2023-04-13 13:13:50+00:00
113,elonmusk,"@IanSharar @WholeMarsBlog If what you say is true, who is writing the bs they’re buying?",5891,370,2023-04-13 13:09:14+00:00
114,elonmusk,@BretWeinstein Yup,21827,1375,2023-04-13 13:02:22+00:00
115,elonmusk,@PopCatalin @Tillsbury1 @WholeMarsBlog Definitely not 🤣,866,55,2023-04-13 13:01:52+00:00
116,elonmusk,@WholeMarsBlog Like talking marionettes … but who is pulling the strings?,132837,16512,2023-04-13 13:01:11+00:00
117,elonmusk,@ggreenwald Interesting,10488,772,2023-04-13 04:36:32+00:00
118,elonmusk,@amuse !,16199,1020,2023-04-13 04:24:17+00:00
119,elonmusk,@thatseguy @stevenmarkryan Yup,1592,80,2023-04-13 04:04:51+00:00
120,elonmusk,@stevenmarkryan 💯🤣,11771,485,2023-04-13 04:04:37+00:00
121,elonmusk,@hiromichimizuno @Tesla Thank you for your excellent contribution to Tesla!,9419,440,2023-04-13 04:03:33+00:00
122,elonmusk,"@stevenmarkryan Buy when others panic, sell when they’re irrationally exuberant",15054,1634,2023-04-13 03:53:15+00:00
